time,open,high,low,close,volume
1779483360,1.85636,1.85639,1.85558,1.85616,182
1779656460,1.85746,1.85746,1.85746,1.85746,2
1779656580,1.85743,1.85746,1.85743,1.85746,4
1779656700,1.85742,1.85743,1.85722,1.85723,10
1779656760,1.85714,1.85714,1.85673,1.85675,30
1779656820,1.85678,1.85706,1.85673,1.85706,8
1779656940,1.85685,1.85685,1.85657,1.85657,6
1779657000,1.85655,1.85657,1.85655,1.85657,6
1779657060,1.85651,1.85656,1.85647,1.85647,14
1779657120,1.85648,1.85665,1.85648,1.85657,8
1779657240,1.85655,1.85679,1.85647,1.85679,20
1779657300,1.85651,1.85672,1.85651,1.85653,10
1779657360,1.85654,1.85654,1.85637,1.85637,10
1779657420,1.85639,1.85648,1.85639,1.85646,18
1779657480,1.85643,1.85647,1.85638,1.85647,14
1779657540,1.85645,1.85686,1.85645,1.85675,10
1779657600,1.85635,1.85759,1.85628,1.85748,18
1779657720,1.85687,1.85753,1.85673,1.85753,64
1779657840,1.85726,1.85743,1.85724,1.85743,7
1779657900,1.85727,1.85737,1.85714,1.85725,31
1779657960,1.85725,1.85734,1.85713,1.85733,39
1779658020,1.85726,1.85734,1.8572,1.85727,23
1779658080,1.85722,1.85737,1.8572,1.85722,16
1779658140,1.8573,1.85732,1.85716,1.85732,18
1779658200,1.85729,1.85752,1.85686,1.85687,47
1779658260,1.85677,1.85677,1.85671,1.85672,14
1779658440,1.85661,1.85671,1.85661,1.85668,6
1779658500,1.85672,1.85672,1.85659,1.85667,18
1779658560,1.85666,1.85669,1.85666,1.85669,8
1779658680,1.85661,1.85661,1.85661,1.85661,1
1779658800,1.85678,1.85689,1.85657,1.85658,29
1779658980,1.85697,1.85697,1.85697,1.85697,2
1779659040,1.85704,1.85728,1.85688,1.85694,42
1779659100,1.85698,1.85707,1.85681,1.85702,42
1779659160,1.85693,1.85704,1.85681,1.85695,48
1779659220,1.85714,1.85716,1.85691,1.85698,22
1779659280,1.85699,1.85712,1.85694,1.85707,32
1779659340,1.85714,1.85716,1.85696,1.85696,20
1779659400,1.85701,1.85713,1.85701,1.85713,14
1779659580,1.85718,1.85736,1.85718,1.85736,62
1779659640,1.85705,1.85742,1.85697,1.85734,40
1779659700,1.85737,1.85741,1.85717,1.85728,30
1779659760,1.85716,1.85741,1.85705,1.85739,42
1779659880,1.85757,1.85757,1.85757,1.85757,2
1779659940,1.85752,1.85754,1.85743,1.85752,8
1779660000,1.85838,1.85996,1.85838,1.85962,120
1779660060,1.85984,1.8607,1.85984,1.8607,125
1779660120,1.86062,1.86085,1.86042,1.8608,91
1779660180,1.86074,1.86079,1.86051,1.86075,65
1779660240,1.86085,1.86092,1.86063,1.86073,79
1779660300,1.86071,1.86091,1.86058,1.86091,110
1779660360,1.86091,1.86096,1.86079,1.86092,71
1779660420,1.86095,1.86095,1.86087,1.86091,63
1779660480,1.86096,1.86102,1.86076,1.86091,65
1779660540,1.86093,1.86097,1.86072,1.86094,69
1779660600,1.86094,1.86094,1.86075,1.86079,60
1779660660,1.86081,1.86081,1.86063,1.86072,53
1779660780,1.86061,1.86061,1.8604,1.8605,64
1779660840,1.86054,1.86056,1.86043,1.86049,55
1779660900,1.86049,1.86051,1.86027,1.86027,91
1779660960,1.86037,1.86042,1.86032,1.86032,69
1779661020,1.8604,1.86053,1.8604,1.86049,56
1779661080,1.86049,1.86052,1.86038,1.86038,76
1779661140,1.86037,1.86043,1.86028,1.86033,56
1779661200,1.86033,1.86041,1.86027,1.8604,64
1779661260,1.8604,1.86044,1.86032,1.8604,90
1779661320,1.8604,1.86047,1.86032,1.86041,73
1779661380,1.86039,1.86043,1.86032,1.86034,57
