time,open,high,low,close,volume
1779482700,213.846,213.873,213.772,213.801,1144
1779656400,213.643,213.669,213.457,213.612,174
1779657300,213.624,213.74,213.598,213.719,260
1779658200,213.675,213.712,213.605,213.619,204
1779659100,213.618,213.67,213.6,213.623,168
1779660000,213.877,214.15,213.861,214.119,1822
1779660900,214.121,214.199,214.091,214.197,1347
1779661800,214.197,214.21,214.14,214.169,1535
1779662700,214.168,214.22,214.155,214.22,1063
1779663600,214.235,214.274,214.217,214.264,1182
1779664500,214.263,214.29,214.229,214.235,766
1779665400,214.234,214.291,214.219,214.281,866
1779666300,214.281,214.303,214.263,214.285,1105
1779667200,214.29,214.294,214.208,214.219,1506
1779668100,214.217,214.234,214.169,214.217,1435
1779669000,214.217,214.258,214.158,214.167,1119
1779669900,214.169,214.271,214.163,214.177,2079
1779670800,214.174,214.211,214.138,214.186,1972
1779671700,214.186,214.221,214.143,214.17,1509
1779672600,214.17,214.179,214.105,214.158,1611
1779673500,214.159,214.203,214.149,214.166,1408
1779674400,214.166,214.185,214.132,214.133,1127
1779675300,214.136,214.163,214.118,214.144,1131
1779676200,214.146,214.159,214.118,214.132,935
1779677100,214.133,214.138,214.086,214.088,535
1779678000,214.074,214.1,214.05,214.087,1162
1779678900,214.086,214.129,214.075,214.109,827
1779679800,214.1,214.123,214.094,214.103,1063
1779680700,214.102,214.113,214.085,214.099,1188
1779681600,214.097,214.127,214.085,214.115,940
1779682500,214.116,214.163,214.108,214.159,882
1779683400,214.16,214.195,214.14,214.192,912
1779684300,214.19,214.225,214.171,214.203,1013
1779685200,214.192,214.271,214.19,214.233,1352
1779686100,214.231,214.26,214.23,214.258,976
1779687000,214.26,214.282,214.236,214.274,1122
1779687900,214.274,214.29,214.248,214.266,1245
1779688800,214.259,214.278,214.205,214.27,1685
1779689700,214.268,214.27,214.19,214.225,1536
1779690600,214.225,214.292,214.197,214.256,1465
1779691500,214.257,214.329,214.256,214.297,1474
1779692400,214.299,214.352,214.256,214.35,1775
1779693300,214.35,214.352,214.224,214.279,1380
1779694200,214.265,214.304,214.24,214.249,1816
1779695100,214.243,214.375,214.243,214.371,1609
1779696000,214.37,214.4,214.29,214.359,1666
1779696900,214.361,214.4,214.351,214.367,1236
