time,open,high,low,close,volume
1779483300,50555.3,50556.3,50533.8,50544.3,224
1779660000,50814.4,50864,50814.4,50827.5,371
1779660300,50827,50846.5,50819.5,50846.5,636
1779660600,50845,50845.5,50818.5,50837,478
1779660900,50836.5,50840,50817.5,50834,460
1779661200,50834.5,50838.5,50801,50802,420
1779661500,50802.5,50811.5,50801,50801.5,298
1779661800,50802,50815.5,50795.5,50795.5,368
1779662100,50797,50804.5,50786,50804.5,300
1779662400,50804,50825,50800,50816.5,324
1779662700,50817,50841.5,50817,50836.5,402
1779663000,50836,50843.5,50826,50827.5,262
1779663300,50827,50827,50811,50817.5,174
1779663600,50818.5,50844.5,50817,50835,256
1779663900,50834.5,50855,50834.5,50850.5,242
1779664200,50851.5,50859,50850.5,50859,188
1779664500,50861,50866,50850,50855,172
1779664800,50854.5,50858,50850.5,50850.5,176
1779665100,50849.5,50855.5,50840.5,50848.5,130
1779665400,50849.5,50869.5,50848.5,50858,322
1779665700,50857.5,50881,50857.5,50879,370
1779666000,50878.5,50879.5,50859,50859.5,196
1779666300,50859,50862.5,50845.5,50846.5,346
1779666600,50844.5,50844.5,50834.5,50839.5,320
1779666900,50839,50841.5,50829,50832,248
1779667200,50834.5,50841.5,50827,50837.5,442
1779667500,50836.5,50868.5,50836.5,50866.5,488
1779667800,50867.5,50877.5,50860.5,50864.5,398
1779668100,50863.5,50870,50852,50859.5,520
1779668400,50860.5,50890.5,50854.5,50888.5,512
1779668700,50889,50889.5,50866.5,50881,512
1779669000,50880,50887,50871.5,50875.5,464
1779669300,50874.5,50883.5,50866.5,50882,360
1779669600,50881.5,50882,50867,50869,322
1779669900,50869.5,50894.5,50865.5,50880.5,460
1779670200,50879,50883.5,50852,50853,490
1779670500,50854,50854,50844,50853,406
1779670800,50852.5,50865,50850,50853.5,548
1779671100,50853,50855,50843.5,50850,464
1779671400,50849.5,50868.5,50847.5,50867,388
1779671700,50867.5,50874,50864,50866,382
1779672000,50865.5,50894.5,50865.5,50888,386
1779672300,50888.5,50893,50881,50892,360
1779672600,50893,50899.5,50883.5,50893.5,492
1779672900,50894,50905,50890.5,50899.5,384
1779673200,50898,50903,50892.5,50900,258
1779673500,50900.5,50901.5,50889.5,50890,312
1779673800,50889.5,50900.5,50889,50898.5,210
1779674100,50898,50902.5,50891,50896.5,242
1779674400,50897,50906,50896.5,50903.5,176
1779674700,50904,50922,50899.5,50915,306
1779675000,50914,50922,50913,50917.5,244
1779675300,50918,50918.5,50908.5,50914,286
1779675600,50913.5,50921,50910,50915.5,192
1779675900,50915,50920,50912,50920,244
1779676200,50920.5,50924,50916,50919.5,192
1779676500,50920,50930.5,50920,50928,232
1779676800,50928.5,50933.5,50924,50933.5,214
1779677100,50933,50941.5,50932,50939,322
1779677400,50938,50939,50931.5,50933,182
1779677700,50932.5,50941,50929.5,50940,152
1779678000,50941,50966.5,50940.5,50956,480
1779678300,50957.5,50974,50947.5,50969,340
1779678600,50967.5,50970,50955,50957,238
1779678900,50958.5,50966,50958,50960,264
1779679200,50960.5,50980,50958.5,50959,396
1779679500,50959.5,50962,50955,50960,268
1779679800,50960.5,50971.5,50960.5,50968,388
1779680100,50968.5,50982,50964.5,50965,384
1779680400,50965.5,50971.5,50963,50965.5,288
1779680700,50965,50973,50963,50966.5,264
1779681000,50966,50969,50962,50964,216
1779681300,50964.5,50968,50954,50954,250
1779681600,50955.5,50963.5,50954,50962,208
1779681900,50962.5,50965,50961,50962.5,116
1779682200,50961.5,50973,50961,50971,188
1779682500,50972,50972,50963,50963.5,170
1779682800,50964,50972,50963.5,50967,172
1779683100,50966,50970.5,50964.5,50965.5,176
1779683400,50966,50966,50956,50959.5,184
1779683700,50959,50964.5,50953.5,50954.5,196
1779684000,50954,50965,50953.5,50964,194
1779684300,50964.5,50971,50962,50967.5,204
1779684600,50967,50976,50966,50970,240
1779684900,50969.5,50971,50959,50960.5,130
1779685200,50959.5,50974,50959,50970,230
1779685500,50969,50971,50960.5,50963,188
1779685800,50964,50969.5,50964,50967,140
1779686100,50966.5,50993.5,50964,50992,242
1779686400,50993.5,50995.5,50985,50986,250
1779686700,50987,50989.5,50981,50985,188
1779687000,50985.5,50995.5,50981,50995.5,226
1779687300,50997.5,51004.5,50997.5,51001,206
1779687600,51001.5,51010,50996,51008,240
1779687900,51007.5,51007.5,50991.5,50995,206
