time,open,high,low,close,volume
1779480000,159.164,159.205,159.142,159.198,2143
1779656400,158.738,158.886,158.702,158.834,594
1779660000,158.94,158.968,158.825,158.882,3787
1779663600,158.881,158.962,158.843,158.958,2259
1779667200,158.957,158.962,158.832,158.897,3304
1779670800,158.896,158.9,158.758,158.877,3822
1779674400,158.878,158.879,158.835,158.849,2122
1779678000,158.848,158.892,158.833,158.886,2202
1779681600,158.886,158.915,158.846,158.862,1933
1779685200,158.864,158.937,158.846,158.924,2514
1779688800,158.925,158.936,158.891,158.905,3422
1779692400,158.904,159.04,158.901,158.974,3847
