time,open,high,low,close,volume
1779480000,75.584,75.592,75.367,75.449,3322
1779660000,76.933,77.857,76.823,77.832,5918
1779663600,77.833,78.811,77.833,78.175,6824
1779667200,78.175,78.729,77.947,78.165,10092
1779670800,78.173,78.558,77.708,77.82,13670
1779674400,77.82,78.051,77.475,77.575,10756
1779678000,77.576,77.823,77.287,77.625,8566
1779681600,77.623,77.99,77.605,77.908,5292
1779685200,77.907,77.918,77.424,77.499,8351
1779688800,77.477,77.725,77.367,77.703,9623
1779692400,77.711,77.963,77.357,77.946,8385
