time,open,high,low,close,volume
1779483300,3883.71,3885.11,3883.17,3884.88,335
1779660000,3908.82,3912.83,3904.98,3911.62,884
1779660300,3910.58,3916.43,3910.06,3914.14,1366
1779660600,3913.91,3916.44,3911.98,3914.15,1229
1779660900,3914.42,3914.95,3909.22,3912.18,1227
1779661200,3912.17,3914.37,3911.65,3913.11,1045
1779661500,3913.12,3913.71,3909.42,3910.59,981
1779661800,3910.17,3917.64,3910.17,3915.95,1063
1779662100,3915.95,3916.5,3914.56,3914.99,941
1779662400,3914.95,3915.42,3913.47,3914.63,869
1779662700,3914.75,3921.07,3914.47,3920.65,1004
1779663000,3920.67,3920.76,3918.43,3918.78,903
1779663300,3918.76,3920.99,3918.32,3920.74,685
1779663600,3920.69,3923.17,3920.69,3922.63,917
1779663900,3922.4,3927.59,3922.28,3926.53,910
1779664200,3926.52,3929.83,3926.52,3928.34,908
1779664500,3928.51,3930.92,3927.72,3928.18,732
1779664800,3928.15,3931.14,3927.95,3930.21,687
1779665100,3930.2,3931.02,3927.6,3928.66,811
1779665400,3928.7,3931.99,3928.68,3931.56,865
1779665700,3931.57,3932.34,3931.31,3931.88,866
1779666000,3931.82,3932.92,3930.28,3930.75,891
1779666300,3930.81,3931.64,3929.24,3930.66,956
1779666600,3930.63,3930.67,3928.49,3929.31,872
1779666900,3929.04,3929.33,3921.93,3922.91,1041
1779667200,3923.3,3927.88,3923.19,3925.76,1277
1779667500,3925.67,3930.2,3925.24,3929.14,1066
1779667800,3929.1,3931.01,3926.66,3928.64,1123
1779668100,3928.67,3929.23,3926.14,3926.85,1046
1779668400,3926.89,3929.3,3926.16,3929.29,1014
1779668700,3929.3,3930.16,3926.21,3927.47,981
1779669000,3928.13,3929.39,3927.33,3928.89,945
1779669300,3928.8,3930.38,3927.82,3930.04,851
1779669600,3929.88,3930,3927.27,3927.74,921
1779669900,3927.88,3931.46,3926.15,3929.37,1008
1779670200,3929.53,3930.14,3925.05,3926.63,1133
1779670500,3926.52,3927.38,3924.32,3926.84,1352
1779670800,3926.54,3931.74,3924.2,3925.07,1561
1779671100,3925.25,3926.36,3919.05,3920.26,1506
1779671400,3920.37,3922.94,3920.27,3921.34,1416
1779671700,3921.28,3921.95,3918.42,3921.52,1363
1779672000,3921.58,3927.1,3921.21,3926.17,1279
1779672300,3926.29,3928.67,3924.02,3927.3,1268
1779672600,3926.91,3928.25,3924.25,3924.93,1321
1779672900,3924.95,3926.78,3924.53,3925.55,1240
1779673200,3925.04,3926.19,3920.28,3920.39,1228
1779673500,3920.31,3921.47,3917.51,3920.45,1267
1779673800,3920.53,3923.9,3918.69,3923.24,1137
1779674100,3923.32,3923.57,3918.81,3920.35,1111
1779674400,3920.39,3922.07,3918.66,3919.7,1101
1779674700,3919.79,3923.81,3919.25,3923.45,1207
1779675000,3923.47,3923.6,3918.58,3919.15,1124
1779675300,3919.15,3919.4,3916.64,3918.74,1078
1779675600,3918.76,3919.76,3916.98,3919.2,845
1779675900,3919.22,3919.56,3917.22,3919.44,898
1779676200,3919.71,3921.7,3918.56,3920.3,1116
1779676500,3920.16,3921.93,3918.88,3921.9,1144
1779676800,3921.92,3925.57,3921.45,3925.53,1113
1779677100,3925.56,3926.07,3919.46,3920.13,1172
1779677400,3920.19,3921.88,3919.62,3919.62,919
1779677700,3919.52,3920.96,3917.91,3919.46,1147
1779678000,3919.48,3921.51,3919.16,3921.27,1165
1779678300,3921.3,3921.44,3918.97,3921.13,1024
1779678600,3921.14,3921.52,3919.78,3921.23,956
1779678900,3921.24,3921.71,3920.24,3920.55,987
1779679200,3920.53,3921.97,3919.69,3919.7,1075
1779679500,3919.7,3920.14,3918.7,3919.08,1008
1779679800,3919.19,3920.07,3917.9,3919.34,907
1779680100,3919.32,3921.31,3919.32,3920.6,958
1779680400,3920.59,3920.59,3916.86,3917.08,820
1779680700,3917.05,3917.72,3916.04,3917.22,879
1779681000,3917.18,3918.54,3915.75,3918.54,848
1779681300,3918.49,3919.75,3918.21,3918.37,916
1779681600,3918.22,3920.48,3918.22,3919.64,854
1779681900,3919.58,3920.57,3919.52,3920.37,750
1779682200,3920.4,3920.86,3918.81,3919.54,788
1779682500,3919.48,3920.47,3918.82,3919.74,733
1779682800,3919.76,3922.54,3919.76,3922.29,777
1779683100,3922.27,3923.58,3922.18,3923.06,618
1779683400,3923.07,3923.23,3918.28,3918.47,913
1779683700,3918.47,3920.03,3917.61,3919.76,753
1779684000,3919.73,3920.13,3918.48,3919.55,595
1779684300,3919.55,3920.72,3919.46,3920.3,480
1779684600,3920.25,3921.12,3919.72,3920.23,637
1779684900,3920.23,3921.19,3919.98,3920.99,764
1779685200,3921,3921.55,3919.32,3921.43,763
1779685500,3921.44,3921.44,3919.99,3920.28,589
1779685800,3920.31,3920.63,3919.13,3919.55,740
1779686100,3919.53,3919.68,3918.53,3918.8,649
1779686400,3918.78,3918.91,3913.32,3913.65,902
1779686700,3913.62,3914.1,3911.43,3911.48,860
1779687000,3911.55,3915.75,3910.37,3914.35,1219
1779687300,3914.38,3916.85,3914.37,3915.97,1023
1779687600,3916.03,3917.19,3912.5,3914.03,1012
1779687900,3914.02,3914.49,3912.13,3912.3,990
1779688200,3912.31,3912.81,3909.69,3911.89,1122
1779688500,3911.95,3914.19,3911.18,3912.09,1027
1779688800,3912.11,3914.32,3911.66,3912.11,1243
1779689100,3912.11,3912.43,3909.36,3911.24,1124
1779689400,3911.22,3912.38,3910.32,3912.03,1005
1779689700,3911.95,3913.95,3911.28,3913.18,1046
1779690000,3913.22,3914.78,3911.63,3914.51,1066
1779690300,3914.48,3914.9,3912.81,3912.96,1086
1779690600,3913.13,3914.56,3912.48,3912.98,1012
1779690900,3912.98,3914.77,3912.62,3913.15,1008
1779691200,3913.16,3914.86,3913.09,3914.25,929
1779691500,3914.21,3915.84,3914.07,3914.55,968
1779691800,3914.66,3915.92,3913.26,3915.14,1098
1779692100,3915.04,3919.96,3914.89,3919.38,1143
1779692400,3919.38,3921.19,3918.34,3920.52,1086
1779692700,3920.5,3921.04,3919.43,3920.14,1081
1779693000,3920.05,3921.93,3919.14,3919.23,1061
1779693300,3919.25,3919.7,3915.03,3916.59,1232
1779693600,3916.6,3916.89,3914.09,3916.14,1315
1779693900,3916.16,3916.77,3914.53,3914.78,1042
1779694200,3914.84,3919.69,3914.61,3918.61,1197
1779694500,3918.55,3919.04,3916.86,3918.21,980
1779694800,3918.25,3919.77,3918.04,3918.95,888
1779695100,3918.91,3921.21,3918.22,3921.21,878
1779695400,3921.09,3923.51,3920.76,3922.55,947
1779695700,3922.56,3923.11,3921.86,3922.52,862
1779696000,3922.53,3923.59,3921.49,3921.63,1044
1779696300,3921.59,3921.76,3918.87,3919.1,944
1779696600,3919.12,3919.25,3917.44,3918.66,790
1779696900,3918.71,3918.82,3917.33,3918.43,755
1779697200,3918.58,3918.58,3913.89,3913.91,962
1779697500,3913.95,3914.31,3912.26,3913.17,1149
