time,open,high,low,close,volume
1779483300,4506.99,4508.31,4506.74,4507.9,226
1779660000,4546.75,4552.89,4543.59,4551.51,894
1779660300,4550.63,4557.04,4549.62,4554.43,1360
1779660600,4554.21,4557.39,4551.86,4554.68,1213
1779660900,4555.03,4555.95,4548.61,4552,1234
1779661200,4552.26,4555.49,4551.73,4554.26,973
1779661500,4554.35,4555.26,4551.18,4552.3,948
1779661800,4551.83,4561.16,4551.83,4559.16,1049
1779662100,4559.19,4559.52,4557.17,4557.97,881
1779662400,4557.98,4558.31,4556.6,4558.21,836
1779662700,4558.39,4565.67,4558,4565.22,969
1779663000,4565.32,4565.32,4562.1,4562.22,899
1779663300,4562.23,4565.5,4561.8,4565.05,660
1779663600,4565.11,4568.44,4565.11,4568.31,895
1779663900,4568.04,4574.12,4567.85,4572.84,861
1779664200,4572.97,4576.38,4572.97,4574.53,861
1779664500,4574.64,4577.54,4573.66,4574.31,739
1779664800,4574.3,4578.31,4574.04,4576.95,655
1779665100,4576.94,4578.09,4573.82,4575.05,793
1779665400,4575.1,4578.68,4575.04,4578.2,855
1779665700,4578.2,4579.14,4577.87,4578.76,835
1779666000,4578.7,4579.97,4577.15,4577.4,820
1779666300,4577.41,4578.37,4575.54,4577.15,912
1779666600,4577.11,4577.11,4574.16,4575.16,829
1779666900,4574.87,4575.2,4565.9,4567.08,974
1779667200,4566.97,4571.57,4566.21,4568.89,1185
1779667500,4568.79,4574.39,4568.33,4573.1,1060
1779667800,4573.17,4575.8,4570.57,4572.67,1087
1779668100,4572.98,4573.51,4569.92,4571.41,1037
1779668400,4571.46,4574.54,4570.06,4574.53,962
1779668700,4574.53,4575.44,4570.16,4572.37,984
1779669000,4573.09,4574.82,4571.9,4573.83,937
1779669300,4573.69,4575.55,4572.35,4575,863
1779669600,4574.91,4574.91,4571,4571.66,961
1779669900,4571.74,4579.57,4571.16,4576.71,979
1779670200,4576.93,4577.63,4571.61,4573.51,1132
1779670500,4573.24,4574.39,4566.62,4569.62,1270
1779670800,4569.31,4576.23,4567.15,4568.28,1582
1779671100,4568.47,4569.97,4560.63,4562.13,1517
1779671400,4562.25,4566.89,4561.69,4565.82,1428
1779671700,4565.73,4566.53,4562.47,4566.43,1354
1779672000,4566.49,4573.11,4565.67,4571.57,1281
1779672300,4571.72,4575.42,4569.03,4573.95,1288
1779672600,4573.67,4574.81,4568.75,4568.94,1308
1779672900,4568.96,4571.86,4568.96,4570.61,1205
1779673200,4570.17,4571.22,4563.34,4563.48,1235
1779673500,4563.39,4564.96,4560.38,4563.86,1206
1779673800,4563.81,4567.35,4561.4,4566.59,1108
1779674100,4566.6,4567.02,4561.02,4562.95,1084
1779674400,4562.94,4565.38,4561.44,4562.58,1100
1779674700,4562.72,4568.42,4562.37,4567.79,1211
1779675000,4567.72,4568.01,4561.32,4562.08,1105
1779675300,4561.99,4562.54,4558.89,4561.75,1051
1779675600,4561.76,4563.43,4559.73,4562.74,845
1779675900,4562.58,4563.08,4559.92,4562.95,844
1779676200,4563.2,4565.57,4561.67,4563.87,1054
1779676500,4563.87,4565.67,4561.9,4565.34,1150
1779676800,4565.37,4569.52,4564.5,4569.52,1066
1779677100,4569.66,4570.27,4562.27,4563.37,1113
1779677400,4563.43,4565,4562.07,4562.07,925
1779677700,4562.02,4562.92,4559.56,4561.4,1074
1779678000,4561.42,4564.4,4561.17,4563.27,1119
1779678300,4563.31,4563.59,4560.45,4563.23,1023
1779678600,4563.25,4563.76,4561.55,4563.26,956
1779678900,4563.28,4563.45,4561.76,4562.22,1003
1779679200,4562.28,4564.57,4561.5,4561.52,1026
1779679500,4561.52,4562.12,4560.24,4560.72,971
1779679800,4560.93,4562.51,4559.61,4561.5,862
1779680100,4561.49,4564.1,4561.47,4562.92,899
1779680400,4562.91,4562.91,4558.31,4558.53,815
1779680700,4558.48,4559.18,4557,4558.64,837
1779681000,4558.57,4560.14,4556.89,4559.9,805
1779681300,4559.84,4561.34,4559.47,4559.9,899
1779681600,4559.8,4562.18,4559.55,4561.34,845
1779681900,4561.3,4562.17,4560.81,4561.75,727
1779682200,4561.71,4562.68,4560.11,4560.95,782
1779682500,4561.01,4562.07,4560.08,4561.18,663
1779682800,4561.2,4564.59,4561.2,4564.12,772
1779683100,4564.1,4565.75,4564.09,4565.28,615
1779683400,4565.3,4565.49,4560.27,4560.72,895
1779683700,4560.78,4562.44,4559.79,4561.99,693
1779684000,4562,4563.02,4560.9,4562.48,562
1779684300,4562.48,4564.51,4562.38,4563.99,485
1779684600,4563.93,4565.41,4563.34,4564.33,640
1779684900,4564.34,4565.64,4564.2,4564.87,709
1779685200,4564.9,4565.79,4563.03,4565.62,684
1779685500,4565.63,4565.64,4564.44,4564.55,544
1779685800,4564.55,4565.12,4562.89,4563.58,756
1779686100,4563.56,4563.7,4562.47,4562.87,592
1779686400,4562.88,4562.99,4556.42,4556.6,854
1779686700,4556.57,4557.05,4554.1,4554.23,850
1779687000,4554.35,4559.69,4552.82,4557.69,1152
1779687300,4557.72,4560.75,4557.64,4560.04,1040
1779687600,4560.11,4560.96,4555.38,4557.07,960
1779687900,4557.07,4558.01,4554.46,4554.67,991
1779688200,4554.77,4555.08,4552,4554.01,1069
1779688500,4554,4555.5,4552.96,4553.41,1029
1779688800,4553.4,4555.93,4552.64,4553.16,1224
1779689100,4553.15,4553.76,4550.53,4552.19,1094
1779689400,4552.16,4554.14,4551.58,4553.9,972
1779689700,4553.85,4555.32,4552.56,4554.44,1017
1779690000,4554.46,4556.81,4552.33,4556.46,1059
1779690300,4556.5,4557.37,4554.05,4554.27,1025
1779690600,4554.46,4556.16,4553.64,4555.23,944
1779690900,4555.23,4557.34,4554.89,4555.55,935
1779691200,4555.54,4557.38,4555.35,4556.51,915
1779691500,4556.5,4559.33,4556.26,4557.75,939
1779691800,4557.91,4559.39,4556.52,4558.72,1042
1779692100,4558.61,4563.28,4558.61,4562.52,1088
1779692400,4562.66,4564.8,4561.21,4564,1053
1779692700,4563.96,4564.41,4561.34,4562.19,1041
1779693000,4562.08,4564.46,4560.8,4560.81,981
1779693300,4560.78,4561.19,4553.31,4555.44,1201
1779693600,4555.45,4556.05,4552.58,4555.66,1252
1779693900,4555.7,4556.98,4554.1,4554.44,1033
1779694200,4554.48,4561.63,4554.19,4559.12,1136
1779694500,4559.05,4559.91,4557.28,4558.77,927
1779694800,4558.82,4560.95,4558.57,4559.93,823
1779695100,4559.92,4562.19,4558.69,4562.18,824
1779695400,4562.12,4565.04,4561.73,4563.91,891
1779695700,4563.97,4565.19,4563.39,4564.88,789
1779696000,4564.9,4565.05,4562.63,4562.74,980
1779696300,4562.73,4563.06,4559.83,4561.49,865
1779696600,4561.52,4562.14,4559.66,4561.14,766
1779696900,4561.16,4561.3,4559.54,4560.83,714
1779697200,4561.06,4561.19,4555.35,4555.37,927
1779697500,4555.45,4556.12,4553.84,4555.14,1098
